rouge1,rouge2,rougeL,rougeLsum,loop,refer,mode
1.0,1.0,1.0,1.0,0,0,answer
0.4043976260464316,0.16156778770015956,0.23359133325054898,0.3398016316118476,1,0,answer
0.3754440274205328,0.1361984580171474,0.21856722661286104,0.3158064189665859,2,0,answer
0.3582680372391788,0.12206050538266087,0.20830183048273032,0.3053869201861651,3,0,answer
0.3398139493836708,0.11471807058645242,0.19483322010882587,0.2868965615328428,4,0,answer
0.3327361802266758,0.10245698569355768,0.18674547546298748,0.27977842129006275,5,0,answer
0.31915427562403076,0.10196366287028205,0.17999306607187618,0.27159943916431306,6,0,answer
0.29951554767735855,0.09468948742412316,0.16984688452400165,0.25355683546567276,7,0,answer
0.2927373405614736,0.08872640258027883,0.16862271578574822,0.24824398183589585,8,0,answer
0.2949998533039121,0.08897485436564845,0.16492465665537837,0.24819272975805964,9,0,answer
0.4043976260464316,0.16156778770015956,0.23359133325054898,0.3398016316118476,1,n-1,answer
0.49762389936037954,0.24769611011323334,0.3235708882799627,0.4371270918921786,2,n-1,answer
0.5418504222838231,0.2838853109687596,0.3726068184442189,0.4862306506805978,3,n-1,answer
0.5279871776004624,0.28366977911069235,0.36405090945857266,0.4735795120622999,4,n-1,answer
0.5340052448262895,0.3010720937568736,0.3695003147919325,0.47990646743470516,5,n-1,answer
0.5313439399786251,0.296446298924398,0.3683716962561918,0.480869352727599,6,n-1,answer
0.500471294430199,0.27831849882192095,0.3463674453572356,0.45139417966937434,7,n-1,answer
0.5100022722993965,0.28605848688185187,0.3564485529704903,0.4603401484587377,8,n-1,answer
0.5398021955197501,0.3238585371985131,0.38279866204904384,0.4898426816116393,9,n-1,answer
1.0,0.99,1.0,1.0,0,0,question
0.3109695354790965,0.14153644006013305,0.2803377579255413,0.2809907921384572,1,0,question
0.2676282251302685,0.09755073956456418,0.23238372322003764,0.2332525092425226,2,0,question
0.25027693457888434,0.09290087082346607,0.22037891566777693,0.22198403833274027,3,0,question
0.22975699266336475,0.08166786344095542,0.20401163849261428,0.20562686169567224,4,0,question
0.2166708493579883,0.07471086584694628,0.19217755623046737,0.19296281247270422,5,0,question
0.21525745143418307,0.07182210107673345,0.19249762545472426,0.19297204634009008,6,0,question
0.20238783540310065,0.0659868638577753,0.17924136560756895,0.1806993942070429,7,0,question
0.19245192040959985,0.06163530888408597,0.16918587146374686,0.17035533227935,8,0,question
0.18864125899507067,0.057190253985741096,0.16548330958926102,0.16674138014722423,9,0,question
0.3109695354790965,0.14153644006013305,0.2803377579255413,0.2809907921384572,1,n-1,question
0.7248548346931523,0.5903868350998331,0.6943775944930592,0.698719658658745,2,n-1,question
0.8013805957609891,0.6891546769042525,0.7857723620193338,0.7855723043908546,3,n-1,question
0.7935333021771689,0.6946967860241916,0.7828843322152519,0.7815268075420111,4,n-1,question
0.8107580478557268,0.7307303727939125,0.804789976779376,0.8013748966364032,5,n-1,question
0.7925501940465156,0.7076248749279797,0.7856175671110355,0.7841324999558016,6,n-1,question
0.7668354319248467,0.6869264113958734,0.7615051343130981,0.7582819178101485,7,n-1,question
0.7637120870599029,0.6716675908833631,0.7520614889695239,0.7516332715517624,8,n-1,question
0.7554637871657522,0.6980548674322198,0.7489980665523978,0.7489495150150397,9,n-1,question
