rouge1,rouge2,rougeL,rougeLsum,loop,refer,mode
1.0,1.0,1.0,1.0,0,0,answer
0.4222849670351262,0.30067030757068147,0.36454222566882166,0.3919049307335128,1,0,answer
0.3817509121190339,0.26211557419327747,0.3247201876969694,0.3396593114713786,2,0,answer
0.3392200840974815,0.22963536012859131,0.28701057028549753,0.2840972736507209,3,0,answer
0.2869697309933257,0.18886326847705426,0.24638086552207694,0.2297177170246229,4,0,answer
0.24685590166308374,0.16454032999435625,0.21405626218930413,0.19921045945572174,5,0,answer
0.2218731679835495,0.15360989676962228,0.19643784101132697,0.18106006194839067,6,0,answer
0.18920713077605933,0.1281034304237155,0.16831581069426882,0.152114784053084,7,0,answer
0.17205422825484112,0.11504642828921727,0.15261486590454798,0.13838098643123717,8,0,answer
0.15518168530811705,0.10368243774769473,0.13882857166772777,0.12295726910460841,9,0,answer
0.4222849670351262,0.30067030757068147,0.36454222566882166,0.3919049307335128,1,n-1,answer
0.48521005523416305,0.39969244645316027,0.4439393974475719,0.4541742146186756,2,n-1,answer
0.5653927512394183,0.5078596377618677,0.5375523981150738,0.5197547967433358,3,n-1,answer
0.6573735792607962,0.6081833632132502,0.6349773391417596,0.626972111299548,4,n-1,answer
0.7127497200451935,0.6790994713032179,0.6954459741491335,0.6980537646810439,5,n-1,answer
0.7850237376690543,0.7590157132199018,0.7708506483134706,0.7703076628802833,6,n-1,answer
0.7965844820375356,0.776969775994628,0.7865638163358482,0.7898344570947263,7,n-1,answer
0.8268160607564619,0.8103585441974366,0.8191790039566789,0.8225776763001968,8,n-1,answer
0.8528007684649808,0.8375573264523106,0.8464404278634748,0.8498254694687006,9,n-1,answer
1.0,0.99,1.0,1.0,0,0,question
0.5269918620509051,0.5082011373013694,0.5265156286217745,0.5245971481976617,1,0,question
0.40690907023840783,0.39064424874928955,0.40623450003131445,0.40659114607402624,2,0,question
0.3128948134041076,0.3003894099621801,0.31253301476439865,0.31209953521878186,3,0,question
0.25280308131864454,0.2426625644562625,0.25188476436672214,0.25281105481833466,4,0,question
0.22188933465070276,0.21272943107789838,0.2212300310466418,0.22311642103972926,5,0,question
0.20817385643566003,0.19883536181399464,0.20757694027070306,0.2089060143957256,6,0,question
0.18175347420593485,0.1743670662542871,0.18125566510354468,0.18228473275562002,7,0,question
0.17226304401376735,0.1649245954504186,0.17080148892291697,0.17255003870618033,8,0,question
0.16714923214679672,0.15990881539665303,0.16544674750789737,0.16710984286338987,9,0,question
0.5269918620509051,0.5082011373013694,0.5265156286217745,0.5245971481976617,1,n-1,question
0.7692866291117664,0.7672692972587846,0.7678886727635108,0.7709075022236673,2,n-1,question
0.7691280795681517,0.7658420069650202,0.7682241526458957,0.7689953781921361,3,n-1,question
0.7728431445433763,0.7701189787548692,0.7702162230945382,0.7723489235007543,4,n-1,question
0.8103566516038891,0.8079113086919743,0.8087540177683852,0.8097907448724876,5,n-1,question
0.8489806964881941,0.8476341648859397,0.8474168530900885,0.8481971661751251,6,n-1,question
0.8650224305342513,0.8652300049694999,0.8638502045301195,0.8632368780602866,7,n-1,question
0.8912321470639293,0.8905516586533789,0.8907919761131227,0.891386183729187,8,n-1,question
0.9135014957521392,0.9132923588492712,0.913849613404268,0.914056601892677,9,n-1,question
